painting,painting_style,painting_subject,museum,museum_city,museum_country,artist,artist_nationality,artist_style,artist_birth,artist_death
Still Life with Flowers and a Watch,Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
Still Life with Fruit and a Beaker on a Cock's Foot,Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
Still Life with Fruit and a Goldfinch,Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
Still Life with Fruit and Oysters,Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
"Still Life with Fruit, Oysters, and a Porcelain Bowl",Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
The Overturned Bouquet,Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
Arabian Horses at Pasture,Baroque,Horses,\N,\N,\N,Albrecht Adam,German,Baroque,1786,1862
Count Halm on His Basedow Estate,Baroque,\N,\N,\N,\N,Albrecht Adam,German,Baroque,1786,1862
Horses at the Porch,Baroque,Horses,The State Hermitage Museum,2,Russia,Albrecht Adam,German,Baroque,1786,1862
Napoleon Before the Burning City of Smolensk,Baroque,Horses,\N,\N,\N,Albrecht Adam,German,Baroque,1786,1862
Peasants Resting in the Field,Baroque,\N,\N,\N,\N,Albrecht Adam,German,Baroque,1786,1862
Portrait Oberleutnant Theodor Von Klein,Baroque,\N,\N,\N,\N,Albrecht Adam,German,Baroque,1786,1862
The Rescue of Count Munnich,Baroque,\N,\N,\N,\N,Albrecht Adam,German,Baroque,1786,1862
The Stable Yard,Baroque,\N,\N,\N,\N,Albrecht Adam,German,Baroque,1786,1862
Jacob A. Stamler Departing Le Havre,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
Kaleda off Le Havre,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
R. Bell &amp; Co. Steamship Bothal in a Heavy Swell,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
Steam Sailing Ship Finsbury in a Stormy Sea,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The American Ship Olive S Southard in French Waters,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The Atalanta Running Under Reduced Sail in a Gale,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The Auxiliary Steamer County of Sutherland at Sea Under Steam and Sail,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The Auxiliary Steamer Rishanglys Calling for a Pilot Off a Headland,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The Barquentine Herdis of the American Star Line,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The First French Steam Battlefleet in Formation at Sea,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The French Brig Dieudonne in Full Sail Off a Headland,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The Full-Rigger King Ceolric Running Under Full Sail,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The Richard Rylands Passing the Fastnet Rock,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The Ship Jacob A. Stamler,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
The Three-Master Hahnemann in Full Sail Off a Headland,\N,Marine Art/Maritime,\N,\N,\N,Édouard Adam,American,Marine Art,1847,1929
